method,seed,step,elapsed_sec,mode_coverage,mode_tv,nearest_mode_distance,sliced_wasserstein
WGAN-GP,8,200,0.1710764579474926,1.0,0.75,0.6357624868771611,0.7832301087651302
WGAN-GP,8,400,0.33891154266893864,2.0,0.55325,0.7670690722032067,0.469706674701491
WGAN-GP,8,800,0.6737800426781178,2.0,0.50525,0.8524883407813015,0.6701828478973839
WGAN-GP,8,1200,1.0080977957695723,3.0,0.625,0.5983536838033309,0.6104478303957991
WGAN-GP,8,1500,1.259151129052043,1.0,0.625,0.7379956240424308,1.1090316880483224
PTGAN-GP,8,0,0.0,0.0,0.5802499999999999,1.3399954368391387,0.8951892348869658
PTGAN-GP,8,50,0.04529104195535183,0.0,0.532,1.2839562543955652,0.8713469120314196
PTGAN-GP,8,100,0.0903844591230154,0.0,0.5527500000000001,1.1903547876226002,0.8152718319190249
PTGAN-GP,8,200,0.17892558313906193,1.0,0.24150000000000002,1.0256860130296193,0.6634689925182243
PTGAN-GP,8,400,0.354656083509326,3.0,0.5,0.5562377874869421,0.6842721997098438
PTGAN-GP,8,800,0.7033855020999908,2.0,0.5,1.1917442427025458,1.2223795365537256
PTGAN-GP,8,1200,1.0528320036828518,2.0,0.5855,0.6193823765645947,0.8900190587215928
PTGAN-GP,8,1500,1.3151843398809433,4.0,0.279,0.7305849463857546,0.41966324481696765
PTGAN-CP,8,0,0.0,0.0,0.5802499999999999,1.3399954368391387,0.8951892348869658
PTGAN-CP,8,50,0.037758126854896545,0.0,0.6045,1.2782557198284703,0.8806081128060238
PTGAN-CP,8,100,0.07528375275433064,0.0,0.63425,1.1247568961187349,0.857714494276288
PTGAN-CP,8,200,0.14944317191839218,0.0,0.5,0.9771803596958907,0.7263966012444926
PTGAN-CP,8,400,0.2953602559864521,2.0,0.38449999999999995,0.7434557682462956,0.5298709046130852
PTGAN-CP,8,800,0.5837855469435453,8.0,0.0865,0.5750813335651894,0.23351510686815932
PTGAN-CP,8,1200,0.8729299213737249,8.0,0.056750000000000016,0.4763720037867088,0.20075582846672455
PTGAN-CP,8,1500,1.0896585881710052,8.0,0.0645,0.42735236587444914,0.17640896526514602
